question,answer,text
The White Stripes 2003 hit single I Just Don't Know What To Do With Myself was originally a hit in 1964 for which female singer?,Dusty Springfield,The White Stripes 2003 hit single I Just Don't Know What To Do With Myself was originally a hit in 1964 for which female singer? Dusty Springfield
"Coriolanus Snow, Peeta Mellark and Haymitch Abernathy are characters in which series of books?",The Hunger Games,"Coriolanus Snow, Peeta Mellark and Haymitch Abernathy are characters in which series of books? The Hunger Games"
"What American boxer, who celebrated his birthday on Monday, is the first in history to win 5 world titles in 5 different weight classes, and was nicknamed The Motor City Cobra or The Hitman?",Thomas Hearns,"What American boxer, who celebrated his birthday on Monday, is the first in history to win 5 world titles in 5 different weight classes, and was nicknamed The Motor City Cobra or The Hitman? Thomas Hearns"
Which country is the world's largest producer of rice?,China,Which country is the world's largest producer of rice? China
"Starting in Hong Kong and digging directly through the center of the Earth, in what country would you emerge?",Argentina,"Starting in Hong Kong and digging directly through the center of the Earth, in what country would you emerge? Argentina"
"""Which TV character had the catchphrase """"Listen very carefully; I shall say zis only once""""?""",Michelle,"""Which TV character had the catchphrase """"Listen very carefully; I shall say zis only once""""?"" Michelle"
Who is the only member of Winston Churchill’s Government (a Parliamentary Secretary of Agriculture) who is still alive (95 years)?,LORD CARRINGTON,Who is the only member of Winston Churchill’s Government (a Parliamentary Secretary of Agriculture) who is still alive (95 years)? LORD CARRINGTON
"Chartwell, the former home of Winston Churchill is in which county?",Kent,"Chartwell, the former home of Winston Churchill is in which county? Kent"
What musical instrument has the nickname 'the devil's box'?,Violin,What musical instrument has the nickname 'the devil's box'? Violin
In which country is Verdi's opera 'Aida' set?,EGYPT,In which country is Verdi's opera 'Aida' set? EGYPT
Who is the Greek God of wine?,Dionysus,Who is the Greek God of wine? Dionysus
"Chequers, the Prime Minister's country residence, is in which English county?",Buckinghamshire,"Chequers, the Prime Minister's country residence, is in which English county? Buckinghamshire"
"""Who is most likely to perform a """"pas de deux""""?""",Ballet dancer,"""Who is most likely to perform a """"pas de deux""""?"" Ballet dancer"
Which American General later President won the Battle of Horseshoe Bend?,ANDREW JACKSON,Which American General later President won the Battle of Horseshoe Bend? ANDREW JACKSON
Which amendment to the U.S. Constitution ended slavery?,13th,Which amendment to the U.S. Constitution ended slavery? 13th
Who played Nick Fury in the made for TV movie of the same name?,David Hasselhoff,Who played Nick Fury in the made for TV movie of the same name? David Hasselhoff
Who was the first female singer with two UK million selling singles?,CELINE DION,Who was the first female singer with two UK million selling singles? CELINE DION
In which sport did Dave Prowse ('Darth Vader') represent England at the 1962 Commonwealth Games?,WEIGHTLIFTING,In which sport did Dave Prowse ('Darth Vader') represent England at the 1962 Commonwealth Games? WEIGHTLIFTING
What was the original UK name of the chocolate bar which de-anglicised its name in 2006?,Dime,What was the original UK name of the chocolate bar which de-anglicised its name in 2006? Dime
Whirligig and Longhorn are types of which creature?,BEETLE,Whirligig and Longhorn are types of which creature? BEETLE
"Pearl Roundabout was the scene of political protests during 2011, in which country is it?",Bahrain,"Pearl Roundabout was the scene of political protests during 2011, in which country is it? Bahrain"
The Costa Smeralda (or Emerald Coast) is a feature of which Mediterranean island?,SARDINIA,The Costa Smeralda (or Emerald Coast) is a feature of which Mediterranean island? SARDINIA
Who was the mother of King Henry VI of England ?,CATHERINE OF VALOIS,Who was the mother of King Henry VI of England ? CATHERINE OF VALOIS
Which French king was the husband of Marie Antoinette?,King Louis XVI,Which French king was the husband of Marie Antoinette? King Louis XVI
"""""""The Last Man In Europe"""" was the working title of which novel?""",1984,"""""""The Last Man In Europe"""" was the working title of which novel?"" 1984"
Tataouine in Tunisia was the setting for many scenes in the movies of which blockbuster franchise?,Star Wars franchise,Tataouine in Tunisia was the setting for many scenes in the movies of which blockbuster franchise? Star Wars franchise
Edward Fairfax Rochester is a character in which 19th century novel?,JANE EYRE,Edward Fairfax Rochester is a character in which 19th century novel? JANE EYRE
The Inverted Jenny depicts an upside down plane and is worth almost a million dollars. What is it?,a Stamp,The Inverted Jenny depicts an upside down plane and is worth almost a million dollars. What is it? a Stamp
What is the name of the wizard who runs the Hogwarts School of Witchcraft and Wizardry in the Harry Potter books and films?,Dumbledore,What is the name of the wizard who runs the Hogwarts School of Witchcraft and Wizardry in the Harry Potter books and films? Dumbledore
Newport on the Isle of Wight stands on which river?,The Medina,Newport on the Isle of Wight stands on which river? The Medina
"Officially designated the M9, what was the unofficial name of the shoulder fired rocket deployed by US soldiers during WWII?",Bazooka,"Officially designated the M9, what was the unofficial name of the shoulder fired rocket deployed by US soldiers during WWII? Bazooka"
"What is claimed to be the fastest bird in level flight, (though its record is in dispute from supporters of the White-throated Needletail)?",Red-breasted Merganser,"What is claimed to be the fastest bird in level flight, (though its record is in dispute from supporters of the White-throated Needletail)? Red-breasted Merganser"
Who along with Philips developed the CD in the late 70s?,Sony,Who along with Philips developed the CD in the late 70s? Sony
"Shrimps, barnacles, scorpions, spiders, etc., all belong to which phylum?",Arthropods,"Shrimps, barnacles, scorpions, spiders, etc., all belong to which phylum? Arthropods"
Colomba Pasquale (or Easter Dove) is a traditional Easter cake which originated from which country?,Italy,Colomba Pasquale (or Easter Dove) is a traditional Easter cake which originated from which country? Italy
Who wrote the play Arms and the Man?,GEORGE BERNARD SHAW,Who wrote the play Arms and the Man? GEORGE BERNARD SHAW
"""The first rule of fight club is you do not talk about fight club"". What is the second rule?",You DO NOT talk about Fight Club!,"""The first rule of fight club is you do not talk about fight club"". What is the second rule? You DO NOT talk about Fight Club!"
What is the chemical symbol for sodium,Na,What is the chemical symbol for sodium Na
What type of creature is a lumpsucker?,Fish,What type of creature is a lumpsucker? Fish
In which sport is the Uber Cup presented?,Badminton,In which sport is the Uber Cup presented? Badminton
"In humans, the right lung is divided into how many lobes?",Three,"In humans, the right lung is divided into how many lobes? Three"
Harrisburg is the capital of which US state?,Pennsylvania,Harrisburg is the capital of which US state? Pennsylvania
"Vanessa Vankorn represented Thailand in a skiing event at the 2014 Winter Olympic Games, under what professional name is she better known?",Vanessa-Mae,"Vanessa Vankorn represented Thailand in a skiing event at the 2014 Winter Olympic Games, under what professional name is she better known? Vanessa-Mae"
Which was the first National Park in the United States of America?,YELLOWSTONE,Which was the first National Park in the United States of America? YELLOWSTONE
Which English city is the setting for the film 'East Is East'?,SALFORD,Which English city is the setting for the film 'East Is East'? SALFORD
What city was the sewerage system built by Sir Joseph Bazalgette in the late 19th century designed to serve?,"London, UK","What city was the sewerage system built by Sir Joseph Bazalgette in the late 19th century designed to serve? London, UK"
What is the currency of Malaysia?,RINGGIT,What is the currency of Malaysia? RINGGIT
How are Felix Ungar and Oscar Madison described in the title of a play by Neil Simon?,THE ODD COUPLE,How are Felix Ungar and Oscar Madison described in the title of a play by Neil Simon? THE ODD COUPLE
In which town or city is the University of Abertay?,Dundee,In which town or city is the University of Abertay? Dundee
Where do littoral creatures live?,Shoreline,Where do littoral creatures live? Shoreline
"What is Niccolo Machiavelli's famously fascinating book on the art of political leadership, published in 1532?",The Prince,"What is Niccolo Machiavelli's famously fascinating book on the art of political leadership, published in 1532? The Prince"
"""What novel, alternatively entitled """"There and Back Again"""", is a fantasy novel by J R R Tolkien, published in September 1937?""",The Hobbit,"""What novel, alternatively entitled """"There and Back Again"""", is a fantasy novel by J R R Tolkien, published in September 1937?"" The Hobbit"
"In Scotland, Burns Night is celebrated during which month of the year?",January,"In Scotland, Burns Night is celebrated during which month of the year? January"
Mary Anne Evans was the real name of which famous novelist?,GEORGE ELIOT,Mary Anne Evans was the real name of which famous novelist? GEORGE ELIOT
What is the common name for a lepidoptera pupa and its silky cocoon?,Chrysalis,What is the common name for a lepidoptera pupa and its silky cocoon? Chrysalis
Which artist painted a portrait of Sir Winston Churchill that was later destroyed by Lady Churchill?,GRAHAM SUTHERLAND,Which artist painted a portrait of Sir Winston Churchill that was later destroyed by Lady Churchill? GRAHAM SUTHERLAND
Who was chairman of the Watergate hearings?,Sam Ervin,Who was chairman of the Watergate hearings? Sam Ervin
“When You Wish Upon a Star” was recorded for what classic Disney film?,Pinocchio,“When You Wish Upon a Star” was recorded for what classic Disney film? Pinocchio
Which Prime Minister signed the Common Market membership treaty?,EDWARD HEATH,Which Prime Minister signed the Common Market membership treaty? EDWARD HEATH
Of Mice And Men is a novel by which American novelist?,John Steinbeck,Of Mice And Men is a novel by which American novelist? John Steinbeck
In which year was the Panama Canal opened?,1914,In which year was the Panama Canal opened? 1914
"Where, 25 miles West of Knoxville, Tennessee, was an Atomic Bomb Research Station set up in 1942?",Oak Ridge,"Where, 25 miles West of Knoxville, Tennessee, was an Atomic Bomb Research Station set up in 1942? Oak Ridge"
Which country lies between Zimbabwe and the sea,Mozambique,Which country lies between Zimbabwe and the sea Mozambique
"Serbian Pule cheese, said to be the world's most expensive is made from the milk of what animal",Donkey,"Serbian Pule cheese, said to be the world's most expensive is made from the milk of what animal Donkey"
Hamelin is on which river?,Weser,Hamelin is on which river? Weser
